Question,Answer
기계공학 장르에서 인기 있는 도서는 무엇인가요?,"기계공학 장르에서 인기 있는 도서는 탈것 백과:자동차, 기타, 배, 비행기, 우주선까지 모든 교통수단, (애앵애앵!)소방차, (움푹움푹!)굴착기, (최고를 찾아라!) 메가머신 기네스북, (삐뽀삐뽀!)경찰차, (삐용삐용!)구급차, (빙글빙글!)레미콘, (으?X으?X!)덤프트럭, (칙칙폭폭!)기차, (무브무브 플랩북)움직이는 엔진:세상의 모든 탈것 입니다."
"60대 이상, 남에서 인기 있는 도서는 무엇인가요?","60대 이상, 남에서 인기 있는 도서는 (빅데이터 시대, 성과를 이끌어 내는)데이터 문해력 , 어쩌다 팀장 :갑자기 팀장이 된 당신과 당신의 팀원을 위한 ‘진짜’ 피드백 기술!, 젊은이가 돌아오는 마을:인구감소 시대 마을 생존법, 경제의 속살, 로컬의 미래:헬레나와의 대화, 책과 여행으로 만난 일본 문화 이야기, 타샤의 말, 인문학을 좋아하는 사람들을 위한 불교수업 입니다."
해군 장르에서 인기 있는 도서는 무엇인가요?,해군 장르에서 인기 있는 도서는 간병 살인:벼랑 끝에 몰린 가족의 고백 입니다.
채색이론 및 실제 장르에서 인기 있는 도서는 무엇인가요?,"채색이론 및 실제 장르에서 인기 있는 도서는 색의 인문학:미셸 파스투로가 들려주는 컬러의 비하인드 스토리, 자연의 색깔, 컬러의 말:모든 색에는 이름이 있다, (이토록 다채로운) 컬러의 안목:컬러의 말을 알면 세상이 즐거워진다, Mix it up!, 문명을 담은 팔레트:인류와 함께한 색 이야기, 색깔 속에 숨은 세상 이야기, 컬러 인문학:색깔에 숨겨진 인류 문화의 수수께끼, 그림, 색에 관한 모든 것, 색을 불러낸 사람들:플라톤에서 몬드리안까지 입니다."
건반악기 및 타악기 장르에서 인기 있는 도서는 무엇인가요?,"건반악기 및 타악기 장르에서 인기 있는 도서는 시모어 번스타인의 말:피아니스트의 아흔 해 인생 인터뷰, 나도 피아노 잘 치면 소원이 없겠네, 크레페 피아노 솔로, 피아노 이야기 :건반 위의 철학자 러셀 셔먼의 음악과 삶 , (초보입문에서 중급) 기초·중급 드럼 교실 , 건반의 달인이 되기위한 100가지 팁 =100 tips for keyboard , 나는 성인이 되어 다시 피아노를 치기 시작했다:성인 피아노 학습자를 위한 맞춤형 안내서, 나는 오늘부터 피아노를 치기로 했다, 내 생애 한 번은, 피아노 연주하기, 다시, 피아노:아마추어, 쇼팽에 도전하다 입니다."
남아메리카지리 장르에서 인기 있는 도서는 무엇인가요?,"남아메리카지리 장르에서 인기 있는 도서는 지구 반대편에서 찾은 엄마의 숨결:, 안녕, 잉카:상상과 호기심의 미래 도시, 마추픽추를 걷다, 너의 삶도 조금은 특별해질 수 있어, 꽃중년 남미 배낭 여행기, 슬픈 열대 입니다."
종교사 장르에서 인기 있는 도서는 무엇인가요?,"종교사 장르에서 인기 있는 도서는 종교 탓이 아니에요:어린이를 위한 세계 5대 종교 이야기, 세계 종교의 역사:인간이 묻고 신이 답하다, 불멸의 열쇠 :역사에서 지워진 신화적이고 종교적인 이야기 , (지도로 읽는다) 세계 5대 종교 역사도감, 세 종교 이야기:유대교 기독교 이슬람교, 믿음과 분쟁의 역사 입니다."
"60대 이상, 미상에서 인기 있는 도서는 무엇인가요?","60대 이상, 미상에서 인기 있는 도서는 그 운동, 독이 됩니다, 돈의 신에게 사랑 받는 3줄의 마법, (소리 없는 살인자, 고혈압·고혈당·고지혈증 잡는) 식사순서 혁명:그대로 먹고 순서만 바꿔라, 5분 스탠딩 건강법:앉는 습관이 당신을 죽인다!, 과거로부터의 행진, 국가의 사기:우석훈의 국가발 사기 감시 프로젝트, 10년 젊게 10년 더 사는 법:내가 습관을 만들고 습관은 내 운명을 바꾼다, 그들은 왜 더 행복할까, 고기 먼저 다이어트 입니다."
풍자 장르에서 인기 있는 도서는 무엇인가요?,"풍자 장르에서 인기 있는 도서는 망작들:당신의 작품을 출간할 수 없는 이유, 고금소총:조선선비들의 사랑과 해학, 언어유희 사전, 그런 책은 없는데요:엉뚱한 손님들과 오늘도 평화로운 작은 책방, 날더러 또 웃겨달라고? :날더러 웃겨달라고? 2 , 위트 상식사전, 지구촌 위트 사전, 진짜 그런 책은 없는데요:또다시 찾아온 더 엉뚱한 손님들 입니다."
"도서관 경영, 관리 장르에서 인기 있는 도서는 무엇인가요?","도서관 경영, 관리 장르에서 인기 있는 도서는 나는 도서관 사서입니다  입니다."
중국 장르에서 인기 있는 도서는 무엇인가요?,"중국 장르에서 인기 있는 도서는 춘추전국이야기, (고우영) 십팔사략, 사마천과 사기:중국의 역사가 사마천이 들려주는 맨 처음 중국사, (어린이를 위한) 사기열전, 몽골제국의 후예들:티무르제국부터 러시아까지, 몽골제국 이후의 중앙유라시아사, 안녕? 중국사, 아틀라스 중국사, 사기열전, 슬픈 중국:인민민주독재 1948-1964, 용을 삼킨 여인들:세상을 휘어잡은 황후들의 이야기 입니다."
도서관행정 및 재정 장르에서 인기 있는 도서는 무엇인가요?,도서관행정 및 재정 장르에서 인기 있는 도서는 도서관의 전략과 미래 :지금 무엇을 준비할 것인가?  입니다.
독일문학 장르에서 인기 있는 도서는 무엇인가요?,"독일문학 장르에서 인기 있는 도서는 사랑스러운 푸른 잿빛 밤:볼프강 보르헤르트 전집, 세상의 끝:로베르트 발저 산문·단편 선집, 그리고 아무도 어디로 가는지 모른다:볼프강 보르헤르트 전집 입니다."
천문학 장르에서 인기 있는 도서는 무엇인가요?,"천문학 장르에서 인기 있는 도서는 시간이 궁금해!, 천문학자는 별을 보지 않는다, 천문학 아는 척하기, 칼 세이건의 말, 어크로스 더 유니버스, 행성을 기록하다, 우아한 우주 :커다란 우주에 대한 작은 생각 , 100개의 별, 우주를 말하다 :불가해한 우주의 실체, 인류의 열망에 대하여, 우주 덕후 사전:21세기는 우주 덕후들의 시대, 마우나케아의 어떤 밤:밤의 시작과 끝, 우주 속 나와 세상에 대한 사유 입니다."
건축상의 세부 마무리손질 장르에서 인기 있는 도서는 무엇인가요?,"건축상의 세부 마무리손질 장르에서 인기 있는 도서는 빈티지 스타일 리모델링 & 인테리어:오래된 집의 매력을 살린 빈티지 하우스 만들기, 홈드레싱으로 월세부자 되기:임대수익을 극대화하는 월세집 인테리어 노하우, 나도 작업실 해볼까?:작업실 구하기부터 꾸미기까지 입니다."
수의학 장르에서 인기 있는 도서는 무엇인가요?,"수의학 장르에서 인기 있는 도서는 수의사 헤리엇이 사랑한 고양이, 동물병원이 알려주지 않는 30가지 비밀 입니다."
지구 장르에서 인기 있는 도서는 무엇인가요?,"지구 장르에서 인기 있는 도서는 (Guess?) 지구 백과:무엇일까요?, 지구 땅속이 궁금해, 지구의 보이지 않는 곳을 들여다보았더니, (봄, 여름, 가을, 겨울을 그림으로 만나는) 계절 도감, 봄 여름 가을 겨울 계절아, 사랑해!:감수성을 깨워 주는 자연 그림책, 자두의 가을 여행, 자두의 겨울나기, 자두의 봄나들이, When the stars come out:exploring the magic and mysteries of the nighttime, 지구 속은 어떻게 생겼을까? 입니다."
"연체동물, 의연체동물 장르에서 인기 있는 도서는 무엇인가요?","연체동물, 의연체동물 장르에서 인기 있는 도서는 Gentle giant octopus, 안녕, 달팽이야! 입니다."
인도-유럽계어 장르에서 인기 있는 도서는 무엇인가요?,"인도-유럽계어 장르에서 인기 있는 도서는 라틴어 수업, (지적이고 아름다운 삶을 위한) 라틴어 수업 입니다."
심리학 장르에서 인기 있는 도서는 무엇인가요?,"심리학 장르에서 인기 있는 도서는 너무 재밌어서 잠 못 드는 심리학 사전, 딸에게 보내는 심리학 편지:30년 동안 미처 하지 못했던 그러나 꼭 해 주고 싶은 이야기들, 커져라, 자기조절력!:학교가 재미없는 너에게, 내 마음을 읽는 시간:관계와 감정이 편해지는 심리학 공부, 세상에서 가장 재미있는 88가지 심리실험:나를 업그레이드하는 효과적인 방법, 늘 괜찮다 말하는 당신에게, 공간의 심리학:인간의 행동을 결정하는 공간의 비밀, (세상에서 가장 재미있는) 63가지 심리실험:뇌과학편, 어제와 똑같은 내가 싫어서 심리학을 공부하기 시작했습니다:나를 바꾸는 39가지 방법, 심리학 용어 도감:사귐이 서툰 이를 위한 일상심리 기술 입니다."
"40대, 여에서 인기 있는 도서는 무엇인가요?","40대, 여에서 인기 있는 도서는 이사도라 문, 가정통신문 소동, 바삭바삭 갈매기, (설민석의) 한국사 대모험, 이시원의 영어 대모험:만화로 시작하는 이시원표 초등영어, (설민석의) 통일 대모험, 아낌없이 주는 나무, 이시원의 영어 대모험 입니다."
